#,運航会社,便名,出発地,出発時刻,到着地,到着時刻,区間マイル,アクション,料金
347,JAC,3861,奄美大島,11:15,与論,12:00,125,,14080
348,HAC,3443,札幌(丘珠),11:15,函館,11:55,90,,7700
349,JAL,659,東京(羽田),11:15,奄美大島,13:35,787,,19470
350,J-AIR,2204,仙台,11:15,大阪(伊丹),12:35,396,,10780
351,JAC,3825,鹿児島,11:15,与論,12:50,358,,18260
352,J-AIR,2373,大阪(伊丹),11:20,長崎,12:40,330,,10230
353,JAL,478,高松,11:20,東京(羽田),12:35,354,,13310
354,JTA,4,沖縄(那覇),11:20,大阪(関西),13:10,739,,13200
355,RAC,724,与那国,11:20,沖縄(那覇),12:35,316,,23430
356,J-AIR,2183,大阪(伊丹),11:20,花巻,12:40,474,,16500
357,FDA,4528,仙台,11:20,福岡,13:35,665,,16830
358,FDA,4385,名古屋(小牧),11:20,福岡,12:55,374,,17050
359,HAC,2891,函館,11:20,奥尻,11:50,74,,6270
360,JTA,36,沖縄(那覇),11:25,小松,13:35,873,,20020
361,JAC,2451,大阪(伊丹),11:25,屋久島,13:15,402,,25410
362,JAL,479,東京(羽田),11:25,高松,12:45,354,,13310
363,HAC,2895,札幌(丘珠),11:25,奥尻,12:15,123,,9900
364,J-AIR,2804,青森,11:30,札幌(新千歳),12:15,153,,8250
365,JAL,987,東京(羽田),11:30,沖縄(那覇),14:20,984,,13860
366,J-AIR,3564,徳島,11:30,福岡,12:45,242,,13530
367,JAL,629,東京(羽田),11:30,熊本,13:25,568,,15070
368,JAL,513,東京(羽田),11:30,札幌(新千歳),13:05,510,,13750
369,JAL,114,大阪(伊丹),11:30,東京(羽田),12:40,280,,10120
370,JTA,608,石垣,11:35,沖縄(那覇),12:35,247,,7590
371,J-AIR,691,東京(羽田),11:35,宮崎,13:25,561,,15070
372,RAC,831,宮古,11:35,石垣,12:05,72,,12430
373,JAL,115,東京(羽田),11:35,大阪(伊丹),12:45,280,,10120
374,JAL,906,沖縄(那覇),11:40,東京(羽田),14:00,984,,13860
375,HAC,2817,札幌(丘珠),11:40,三沢,12:40,156,,8250
376,JAL,508,札幌(新千歳),11:40,東京(羽田),13:25,510,,13750
377,JAC,3744,屋久島,11:40,鹿児島,12:20,102,,9020
378,JAL,494,高知,11:40,東京(羽田),12:55,393,,13090
379,HAC,2863,札幌(丘珠),11:40,釧路,12:25,136,,7700
380,J-AIR,2162,三沢,11:40,大阪(伊丹),13:25,536,,16280
381,JAL,2005,大阪(伊丹),11:45,札幌(新千歳),13:30,666,,11990
382,JAL,259,東京(羽田),11:45,広島,13:10,414,,12540
383,RAC,824,与論,11:45,沖縄(那覇),12:20,74,,12430
384,JAL,215,東京(羽田),11:45,南紀白浜,13:00,303,,16720
385,J-AIR,2471,大阪(伊丹),11:45,徳之島,13:45,603,,38060
386,J-AIR,3625,福岡,11:50,宮崎,12:40,131,,6490
387,JTA,42,沖縄(那覇),11:50,名古屋(中部),13:55,809,,15290
388,FDA,4484,新潟,11:50,札幌(新千歳),13:05,369,,9790
389,J-AIR,3726,奄美大島,11:50,鹿児島,12:40,242,,14410
390,J-AIR,3729,鹿児島,11:50,奄美大島,12:45,242,,14410
391,JAL,668,大分,11:55,東京(羽田),13:20,499,,15070
392,JAL,434,松山,11:55,東京(羽田),13:15,438,,13750
393,JAL,144,青森,11:55,東京(羽田),13:20,358,,14300
394,JAL,915,東京(羽田),11:55,沖縄(那覇),14:45,984,,13860
